iata_code,name,continent,iso_country,country,region,municipality,latitude,longitude
AZR,Touat Cheikh Sidi Mohamed Belkebir Airport,Africa,DZ,Algeria,Adrar Province,Adrar,27.837601,-0.186414
ALG,Houari Boumediene Airport,Africa,DZ,Algeria,Algiers Province,Algiers,36.691002,3.21541
AAE,Rabah Bitat Airport,Africa,DZ,Algeria,Annaba Province,Annaba,36.826781,7.81334
BLJ,Batna Mostefa Ben Boulaid Airport,Africa,DZ,Algeria,Batna Province,Batna,35.752102,6.30859
CBH,Béchar Boudghene Ben Ali Lotfi Airport,Africa,DZ,Algeria,Béchar Province,Béchar,31.64570045,-2.269860029
BJA,Soummam – Abane Ramdane Airport,Africa,DZ,Algeria,Béjaïa Province,Béjaïa,36.712793,5.07857
BSK,Biskra - Mohamed Khider Airport,Africa,DZ,Algeria,Biskra Province,Biskra,34.793301,5.73823
QLD,Blida Airport,Africa,DZ,Algeria,Blida Province,Blida,36.503601,2.81417
BMW,Bordj Badji Mokhtar Airport,Africa,DZ,Algeria,Adrar Province,Bordj Badji Mokhtar,21.3778,0.92698
CFK,Chlef Aboubakr Belkaid International Airport,Africa,DZ,Algeria,Chlef Province,Chlef,36.217166,1.342237
CZL,Mohamed Boudiaf International Airport,Africa,DZ,Algeria,Constantine Province,Constantine,36.27600098,6.620389938
DJG,Djanet Inedbirene Airport,Africa,DZ,Algeria,Illizi Province,Djanet,24.292801,9.45244
QDJ,Tsletsi Airport,Africa,DZ,Algeria,Djelfa Province,Djelfa,34.6657,3.351
EBH,El Bayadh Airport,Africa,DZ,Algeria,El Bayadh Province,El Bayadh,33.72166667,1.0925
ELG,El Golea Airport,Africa,DZ,Algeria,Ghardaïa Province,El Menia,30.571301,2.85959
GHA,Noumérat - Moufdi Zakaria Airport,Africa,DZ,Algeria,Ghardaïa Province,Ghardaïa,32.38410187,3.79411006
MUW,Ghriss Airport,Africa,DZ,Algeria,Mascara Province,Ghriss,35.207699,0.147142
ELU,Guemar Airport,Africa,DZ,Algeria,El Oued Province,Guemar,33.51139832,6.776790142
HME,Hassi Messaoud-Oued Irara Krim Belkacem Airport,Africa,DZ,Algeria,Ouargla Province,Hassi Messaoud,31.673,6.14044
HRM,Hassi R'Mel Airport,Africa,DZ,Algeria,Laghouat Province,Hassi R'Mel,32.930401,3.31154
VVZ,Illizi Takhamalt Airport,Africa,DZ,Algeria,Illizi Province,Illizi,26.7234993,8.622650146
IAM,Zarzaitine - In Aménas Airport,Africa,DZ,Algeria,Illizi Province,In Aménas,28.0515,9.64291
INF,In Guezzam Airport,Africa,DZ,Algeria,Tamanghasset Province,In Guezzam,19.56699944,5.75
INZ,In Salah Airport,Africa,DZ,Algeria,Tamanghasset Province,In Salah,27.25099945,2.512020111
GJL,Jijel Ferhat Abbas Airport,Africa,DZ,Algeria,Jijel Province,Jijel,36.79510117,5.87361002
LOO,Laghouat - Molay Ahmed Medeghri Airport,Africa,DZ,Algeria,Laghouat Province,Laghouat,33.7644,2.92834
MZW,Mecheria Airport,Africa,DZ,Algeria,Naama Province,Mecheria,33.53590012,-0.2423530072
MQV,Mostaganem Airport,Africa,DZ,Algeria,Mostaganem Province,Mostaganem,35.904134,0.143337
ORN,Oran International Airport Ahmed Ben Bella,Africa,DZ,Algeria,Oran Province,Oran,35.623901,-0.621183
OGX,Ain Beida Airport,Africa,DZ,Algeria,Ouargla Province,Ouargla,31.9172,5.41278
BUJ,Bou Saada Airport,Africa,DZ,Algeria,M'Sila Province,Ouled Sidi Brahim,35.3325,4.20639
QMH,Oum El Bouaghi Air Base,Africa,DZ,Algeria,Oum el Bouaghi Province,Oum El Bouaghi,35.8797,7.2708
QSF,Ain Arnat Airport,Africa,DZ,Algeria,Sétif Province,Sétif,36.17810059,5.32449007
BFW,Sidi Bel Abbes Airport,Africa,DZ,Algeria,Sidi Bel Abbes Province,Sidi Bel Abbès,35.17179871,-0.5932750106
TAF,Oran Tafraoui Airport,Africa,DZ,Algeria,Oran Province,Tafraoui,35.5424,-0.532278
TMR,Aguenar – Hadj Bey Akhamok Airport,Africa,DZ,Algeria,Tamanghasset Province,Tamanrasset,22.81150055,5.451079845
TEE,Cheikh Larbi Tébessi Airport,Africa,DZ,Algeria,Tébessa Province,Tébessi,35.43159866,8.12071991
TID,Abdelhafid Boussouf Bou Chekif Airport,Africa,DZ,Algeria,Tiaret Province,Tiaret,35.341099,1.46315
TMX,Timimoun Airport,Africa,DZ,Algeria,Adrar Province,Timimoun,29.2371006,0.2760330141
TIN,Tindouf Airport,Africa,DZ,Algeria,Tindouf Province,Tindouf,27.7003994,-8.167099953
TLM,Zenata – Messali El Hadj Airport,Africa,DZ,Algeria,Tlemcen Province,Tlemcen,35.01670074,-1.450000048
TGR,Touggourt Sidi Madhi Airport,Africa,DZ,Algeria,Ouargla Province,Touggourt,33.06779861,6.088669777
AZZ,Ambriz Airport,Africa,AO,Angola,Bengo Province,Ambriz,-7.86221981,13.11610031
ANL,Andulo Airport,Africa,AO,Angola,Bié Province,Andulo,-11.4723,16.710899
BUG,Benguela 17th of September Airport,Africa,AO,Angola,Benguela Province,Benguela,-12.609,13.4037
